Configuration,Rule Source,Sarif Identifier,Alerts
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/potentially-weak-cryptographic-algorithm,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/predictable-seed,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/redos,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/regex-injection,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/relative-path-command,6
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/rsa-without-oaep,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/sensitive-cookie-not-httponly,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/sensitive-log,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/server-side-template-injection,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/socket-auth-race-condition,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/spel-expression-injection,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/spring-boot-exposed-actuators,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/spring-boot-exposed-actuators-config,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/spring-disabled-csrf-protection,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/sql-injection,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/ssrf,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/stack-trace-exposure,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/static-initialization-vector,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/summary/lines-of-code,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/summary/lines-of-code-java,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/summary/lines-of-code-kotlin,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/tainted-arithmetic,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/tainted-format-string,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/tainted-numeric-cast,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/tainted-permissions-check,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/telemetry/external-libs,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/telemetry/extraction-information,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/telemetry/supported-external-api,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/telemetry/supported-external-api-sinks,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/telemetry/supported-external-api-sources,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/telemetry/supported-external-api-taint,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/telemetry/unsupported-external-api,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/toctou-race-condition,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/trust-boundary-violation,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/uncontrolled-arithmetic,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/unreachable-exit-in-loop,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/unreleased-lock,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/unsafe-cert-trust,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/unsafe-deserialization,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/unsafe-hostname-verification,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/unvalidated-url-forward,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/unvalidated-url-redirection,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/user-controlled-bypass,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/weak-cryptographic-algorithm,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/world-writable-file-read,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/xml/xpath-injection,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/xslt-injection,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/xss,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/xxe,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/zipslip,0
